Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
K103_01N_B748A,Bridge A on Route K103 EBC,Bridge,Bridge,2012/10/17,01N,K103,2.50,138.00,15.00,6,Continuous,
K103_01N_B748B,Bridge B on Route K103 WBC,Bridge,Bridge,2012/10/17,01N,K103,2.50,138.00,15.00,6,Simply supported,
K109_01N_IDB1884,uknown,Bridge,Bridge,2012/10/24,01N,K109,0.50,36.00,13.30,3,Simply supported,
K111_01N_IDB2149,IVORY PARK BRIDGE 1,Bridge,Bridge,2012/11/07,01N,K111,2.20,9.00,14.00,1,Simply supported,
K146_01N_B5524A,K146 over river,Bridge,Bridge,2012/10/08,01N,D64,4.00,43.50,14.75,5,Continuous,2001/01/02
K146_01N_B5525A,K164 over rail,Bridge,Bridge,2012/10/08,01N,D64,2.00,18.00,16.95,1,Continuous,2001/01/02
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,2012/10/08,01N,D64,1.00,33.40,11.55,3,Simply supported,
K175_01N_B5102A,Honde River Bridge,Bridge,Bridge,2012/09/28,01N,K175,20.20,21.00,20.00,4,Continuous,
K175_01N_B5103A,Railway Bridge on Route K175,Bridge,Bridge,2012/09/27,01N,K175,21.50,32.00,12.80,3,Simply supported,
K175_01N_B5104A,River Bridge on route K175,Bridge,Bridge,2012/09/27,01N,K175,23.90,15.80,15.00,1,Simply supported,
K198_01N_B5291,K198-01,Bridge,Bridge,2012/10/31,01N,K198,23.52,42.00,7.00,3,Continous and simply supported,
K198_01N_B5292A,K198-02,Bridge,Bridge,2012/10/31,01N,K198,28.20,45.60,13.60,2,Simply supported,
K27_01N_B5144A,K27 over Hospital Road,Bridge,Bridge,2012/10/17,01N,K27,55.30,38.50,13.10,3,Continous and simply supported,
K27_01N_B5144B,K27 over Hospital Road ,Bridge,Bridge,2012/10/17,01N,K27,55.66,33.00,15.00,3,Continous and simply supported,
K27_01N_B5145A,K27 over rail,Bridge,Bridge,2012/10/17,01N,K27,55.60,33.00,15.00,3,Simply supported,
