Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,X-Coord,Y-Coord,Analysis Date,Total Cost
D434_01N_IDC2719,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,01N,D434,5.70,28.21,-25.61,2022/06/30,7500.00
D465_01N_B693,D465 over Klein River,Major Culvert,Culvert Major,2012/10/16,01N,D465,0.30,27.54,-25.92,2022/06/30,750.00
D473_01E_IDC2076,D473-01,Major Culvert,Culvert Major,2012/10/11,01E,D473,2.30,27.82,-26.48,2022/06/30,0.00
D473_01E_IDC2086,D473-02,Major Culvert,Culvert Major,2012/10/11,01E,D473,2.90,27.82,-26.48,2022/06/30,15280.00
D473_01E_IDC2088,D473-03,Major Culvert,Culvert Major,2012/10/11,01E,D473,3.10,27.81,-26.48,2022/06/30,41320.00
D473_01N_B3123,-,Bridge,Bridge,2012/10/28,01N,D473,1.50,27.89,-26.52,2022/06/30,35350.00
D473_01N_B3124,-,Bridge,Bridge,2012/10/28,01N,D473,1.90,27.88,-26.52,2022/06/30,59940.00
D473_01N_B3453,-,Bridge,Bridge,2012/10/28,01N,D473,5.30,27.86,-26.50,2022/06/30,98800.00
D473_01N_IDC2294,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D473,7.80,27.84,-26.49,2022/06/30,0.00
D478_01N_B1004,Road D478 over stream,Bridge,Bridge Cellular,2012/10/09,01N,D478,4.00,28.10,-26.64,2022/06/30,0.00
D478_01N_B2294,Road D478 over river,Bridge,Bridge,2012/10/04,01N,D478,1.00,28.19,-26.64,2022/06/30,97920.00
D478_01N_B4268,Road D478 over river,Bridge,Bridge Cellular,2016/06/03,,D478,12.00,28.16,-26.64,2022/06/30,5070.00
D478_01N_IDC2003,D478 over spruit,Major Culvert,Culvert Major,2012/10/02,01N,D478,20.00,28.24,-26.62,2022/06/30,17530.00
D48_01N_B1373,1373 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,12.02,28.38,-25.34,2022/06/30,39350.00
D48_01N_B4515,4515 over Pienaars River,Bridge,Bridge,2012/11/08,01N,D48,3.93,28.32,-25.38,2022/06/30,375400.00
D48_01N_B4516,4516 over Tributary to Pienaars River,Bridge,Bridge,2012/11/08,01N,D48,5.14,28.33,-25.38,2022/06/30,149700.00
D48_01N_B4517,NB033 over Tributary to Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,7.58,28.35,-25.36,2022/06/30,43040.00
D48_01N_IDC1582,Tributory to Boekenhoutspruit,Major Culvert,Culvert Major,2012/10/31,01N,D48,9.80,28.36,-25.35,2022/06/30,3750.00
D483_01N_B2985,Rail Bridge 2985 on Route 19.5,Bridge,Bridge,2012/09/27,01N,D483,19.50,28.53,-25.74,2022/06/30,30750.00
D49_01N_IDC2356,Bridge at route km 7.6,Major Culvert,Culvert Major,2012/10/29,01N,D49,7.60,28.06,-25.90,2022/06/30,66750.00
D49_01N_IDC2679,Culvert on Route D49 at km 4.6,Major Culvert,Culvert Major,2012/10/29,01N,D49,4.60,28.03,-25.95,2022/06/30,11510.00
D495_01N_IDC0468,Culvert at km 4 on Route D495,Major Culvert,Culvert Major,2012/09/27,01N,D495,4.00,28.57,-25.72,2022/06/30,0.00
D51_01N_B2161,CASTERNHOFF RIVER BRIDGE (ALLENDALE ROAD),Bridge,Bridge Cellular,2016/07/20,,D51,10.80,28.13,-26.03,2022/06/30,315000.00
D51_01N_B4725,Isando Road Pedestrian Bridge,Bridge,Bridge,2012/10/11,01N,D51,0.10,28.19,-26.09,2022/06/30,17230.00
D51_01N_IDC2164,WATERFALLS CULVERT 2 ,Major Culvert,Culvert Major,2012/11/14,01N,D51,15.00,28.10,-26.01,2022/06/30,80240.00
D51_01N_IDC2165,WATERFALLS CULVERT 1,Major Culvert,Culvert Major,2012/11/06,01N,D51,14.95,28.10,-26.01,2022/06/30,109460.00
D51_01N_IDC2166,KYALAMI CULVERT ,Major Culvert,Culvert Major,2012/11/06,01N,D51,16.00,28.08,-26.00,2022/06/30,71550.00
D540_01N_B3146,Kromdraai Bridge 3146,Bridge,Bridge,2012/10/03,01N,D540,3.20,27.77,-26.01,2022/06/30,157160.00
D540_01N_B587,D540 over Bloubankspruit (Kromdraai Bridge),Bridge,Bridge,2012/10/02,01N,D540,6.50,27.79,-25.98,2022/06/30,79150.00
D540_01N_C5553,Tributary to Krokodil Rivier ,Major Culvert,Culvert Major,2012/10/23,01N,D540,7.60,27.79,-25.97,2022/06/30,0.00
D540_01N_IDC1785,Tributory to Krokodilrivier,Major Culvert,Culvert Major,2012/10/24,01N,D540,15.00,27.84,-25.92,2022/06/30,0.00
D540_01N_IDC1818,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D540,10.50,27.81,-25.95,2022/06/30,0.00
D540_01N_IDC1832,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D540,11.60,27.81,-25.94,2022/06/30,0.00
D540_01N_IDC1858,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D540,13.10,27.82,-25.93,2022/06/30,0.00
D567_01N_B4846,River Bridge,Bridge,Bridge,2012/10/24,01N,D567,38.36,28.60,-25.25,2022/06/30,66510.00
D567_01N_C5051,PC3,Major Culvert,Culvert Major,2012/10/24,01N,D567,27.10,28.58,-25.34,2022/06/30,0.00
D567_01N_IDC1706,PC4,Major Culvert,Culvert Major,2012/10/24,01N,D567,20.55,28.61,-25.40,2022/06/30,0.00
D57_01N_B1111,Rail over road D57 At km 1.0 over,Bridge,Bridge,2012/10/09,01N,D57,1.00,28.37,-26.50,2022/06/30,140430.00
D57_01N_B2731,River bridge near Heidelberg,Major Culvert,Culvert Major,2012/10/16,01N,D57,7.80,28.44,-26.50,2022/06/30,71160.00
D57_01N_B2732,2732,Bridge,Bridge Cellular,2012/10/16,01N,D57,5.10,28.41,-26.50,2022/06/30,15280.00
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,2012/10/09,01N,D57,3.00,28.37,-26.50,2022/06/30,119130.00
D57_01N_IDC0702,"Culvert 115, Tributary to Blesbokspruit.",Major Culvert,Culvert Major,2012/10/16,01N,D57,7.20,28.43,-26.50,2022/06/30,7500.00
D57_01N_IDC2792,Road D57 over spruit At distance 3.0km,Major Culvert,Culvert Major,2012/10/09,01N,D57,3.00,28.38,-26.51,2022/06/30,0.00
D602_01N_IDC2628,Tributary to Sand River C1,Major Culvert,Culvert Major,2012/11/20,01N,D602,1.05,28.02,-25.48,2022/06/30,72500.00
D602_01N_IDC2648,Tributary to Sand River C2,Major Culvert,Culvert Major,2012/11/20,01N,D602,1.10,28.02,-25.48,2022/06/30,87000.00
D603_01N_IDC2673,Tributary to Sand River C1,Major Culvert,Culvert Major,2012/11/20,01N,D603,3.60,28.02,-25.49,2022/06/30,0.00
D604_01N_IDB0945,"NB024 over Mabopane to Soshanguve Rail, M17 and Access Road",Bridge,Bridge,2012/10/23,01N,D604,3.92,28.08,-25.52,2022/06/30,0.00
D604_01N_IDB1954,"NB025 over Mabopane to Soshanguve Rail, M17 and Access Rd",Bridge,Bridge,2012/11/05,01N,D604,3.92,28.08,-25.52,2022/06/30,691930.00
D604_01N_IDB1985,NB026 over Soutpanspruit,Bridge,Bridge Cellular,2016/02/26,01N,D504,17.53,28.03,-25.41,2022/06/30,113790.00
D615_01N_IDC2594,Tributary to Soutpanspruit C1,Major Culvert,Culvert Major,2012/11/20,01N,D615,0.70,28.05,-25.43,2022/06/30,0.00
D620_01N_IDC2690,Tributary to Sand River C1,Major Culvert,Culvert Major,2012/11/20,01N,D620,2.10,28.05,-25.48,2022/06/30,21820.00
D620_01N_IDC2696,Tributary to Sand River C2,Major Culvert,Culvert Major,2012/11/26,01N,D620,2.70,28.04,-25.48,2022/06/30,189700.00
D620_01N_IDC2699,Tributary to Sand River C3,Major Culvert,Culvert Major,2012/11/20,01N,D620,3.60,28.04,-25.47,2022/06/30,18270.00
D621_01N_IDC2579,Tributary to Soutpanspruit C2,Major Culvert,Culvert Major,2012/11/20,01N,D621,4.60,28.05,-25.42,2022/06/30,3850.00
D621_01N_IDC2581,Tributary to Soutpanspruit C3,Major Culvert,Culvert Major,2012/11/20,01N,D621,5.60,28.06,-25.42,2022/06/30,18220.00
D621_01N_IDC2591,Tributary to Soutpanspruit C1,Major Culvert,Culvert Major,2012/11/20,01N,D621,2.90,28.03,-25.43,2022/06/30,8770.00
D631_01N_B4092,SWAVELPOORT RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,3.00,28.41,-25.82,2022/06/30,21400.00
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,4.10,28.41,-25.82,2022/06/30,178300.00
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,10.40,28.46,-25.86,2022/06/30,55950.00
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,12.50,28.48,-25.86,2022/06/30,50850.00
D631_01N_B4435,RAILWAY BRIDGE,Bridge,Bridge,2012/11/23,01N,D631,17.00,28.52,-25.85,2022/06/30,6250.00
D631_01N_IDC2345,CULVERT AT KM 13.7,Major Culvert,Culvert Major,2012/11/07,01N,D631,13.70,28.49,-25.86,2022/06/30,22500.00
D631_01N_IDC2346,CULVERT AT KM 7,Major Culvert,Culvert Major,2012/11/07,01N,D631,7.00,28.43,-25.84,2022/06/30,3780.00
D631_01N_IDC2347,CULVERT AT KM 8,Major Culvert,Culvert Major,2012/11/07,01N,D631,8.00,28.44,-25.85,2022/06/30,0.00
D631_01N_IDC2582,Tributary to Soutpanspruit C1,Major Culvert,Culvert Major,2012/11/20,01N,D631,0.30,28.03,-25.41,2022/06/30,276650.00
D636_01N_IDC2612,Tributary to Sand Rivier C1,Major Culvert,Culvert Major,2012/11/20,01N,D636,2.00,28.02,-25.51,2022/06/30,62260.00
D636_01N_IDC2621,Tributary to Sand River C2,Major Culvert,Culvert Major,2012/11/20,01N,D636,3.60,28.02,-25.50,2022/06/30,126260.00
D64_01N_B1316,Road D64 over rail,Bridge,Bridge,2012/10/08,01N,D64,1.00,28.17,-26.43,2022/06/30,40410.00
D64_01N_B1751,D64 over spruit,Bridge,Bridge Cellular,2012/10/04,01N,D64,3.00,28.26,-26.44,2022/06/30,7640.00
D64_01N_B1927,D64 over rail,Bridge,Bridge,2012/10/10,01N,D64,23.20,28.09,-26.42,2022/06/30,34530.00
D64_01N_B3922,Road D64 over river,Bridge,Bridge,2012/10/08,01N,D64,11.00,28.22,-26.44,2022/06/30,56960.00
D64_01N_IDB1472,Road D64 over river,Bridge,Bridge,2012/10/08,01N,D64,1.00,28.17,-26.43,2022/06/30,1281710.00
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,2012/10/08,01N,D64,1.00,28.18,-26.43,2022/06/30,306060.00
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,2012/10/10,01N,D64,22.80,28.09,-26.42,2022/06/30,194230.00
D64_01N_IDC2023,D64 over spruit,Major Culvert,Culvert Major,2012/10/04,01N,D64,0.50,28.29,-26.44,2022/06/30,80160.00
D665_01N_IDC0530,Tributory to Wonderfonteinspruit,Major Culvert,Culvert Major,2012/10/09,01N,D665,13.30,27.51,-26.24,2022/06/30,0.00
D67_01N_B3527,Rail over road D67 ,Bridge,Bridge,2012/10/02,01N,D67,1.00,28.30,-26.71,2022/06/30,14710.00
D67_01N_IDB1433,Road d67 over river,Bridge,Bridge,2012/10/02,01N,D67,1.00,28.32,-26.67,2022/06/30,120150.00
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,2012/10/08,01N,D67,1.00,28.26,-26.43,2022/06/30,600160.00
D67_01N_IDC1996,D67 over Suikerbosspruit,Bridge,Bridge Cellular,2012/10/02,01N,D67,2.80,28.32,-26.63,2022/06/30,22500.00
D67_01N_IDC1999,D67 over spruit,Major Culvert,Culvert Major,2012/10/02,01N,D67,1.00,28.29,-26.74,2022/06/30,0.00
D67_01N_IDC2000,D67 over stream,Major Culvert,Culvert Major,2012/10/02,01N,D67,1.00,28.29,-26.74,2022/06/30,13275.00
D671_01N_B3856,D671-01,Bridge,Bridge,2012/10/11,01N,D671,0.40,27.63,-26.48,2022/06/30,3000.00
D671_01N_IDC0752,D671-04,Major Culvert,Culvert Major,2012/10/16,01N,D671,5.00,27.60,-26.45,2022/06/30,0.00
D671_01N_IDC0785,D671-03,Major Culvert,Culvert Major,2012/10/16,01N,D671,8.50,27.60,-26.43,2022/06/30,9000000.00
D671_01N_IDC0787,D671-02,Major Culvert,Culvert Major,2012/10/16,01N,D671,9.00,27.60,-26.43,2022/06/30,30000.00
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,2012/10/04,01N,D687,18.00,28.63,-26.50,2022/06/30,113110.00
D713_01N_B2816,Elands River Bridge,Bridge,Bridge,2012/10/23,01N,D713,18.80,28.58,-25.67,2022/06/30,267200.00
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,2012/09/26,01N,D713,20.00,28.70,-25.71,2022/06/30,22510.00
D734_01N_B2764,2764 over Pienaars River,Bridge,Bridge,2012/11/08,01N,D734,3.10,28.31,-25.40,2022/06/30,385875.00
D734_01N_IDC1561,Trinutory to Boekenhoutspruit,Major Culvert,Culvert Major,2012/10/30,01N,D734,7.80,28.36,-25.41,2022/06/30,7560.00
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,2012/10/31,01N,D755,1.80,28.01,-25.81,2022/06/30,834500.00
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,2012/10/31,01N,D755,3.30,28.03,-25.82,2022/06/30,1314550.00
D755_01N_IDC1822,Tributary of Hennops River,Major Culvert,Culvert Major,2012/10/31,01N,D755,0.10,28.01,-25.79,2022/06/30,80320.00
D766_01N_B4233,Cellular Bridge on R550,Bridge,Bridge Cellular,2016/05/16,,D766,,27.88,-26.43,2022/06/30,1500.00
D766_01N_B4234,D766 (R550) over Rietspruit,Bridge,Bridge Cellular,2016/05/16,,D766,,27.88,-26.43,2022/06/30,117780.00
D766_01N_C3155,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,0.50,28.07,-26.41,2022/06/30,114000.00
D766_01N_IDC2304,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,9.50,27.91,-26.40,2022/06/30,15280.00
D766_01N_IDC2310,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,10.70,27.95,-26.36,2022/06/30,3780.00
D766_01N_IDC2316,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,13.35,28.00,-26.34,2022/06/30,9500.00
D795_01N_IDC2151,SAVANNA HILLS CULVERT,Major Culvert,Culvert Major,2012/11/07,01N,D795,10.60,28.11,-25.95,2022/06/30,18900.00
D795_01N_IDC2152,NOORDWYK CULVERT,Major Culvert,Culvert Major,2012/11/07,01N,D795,12.40,28.13,-25.95,2022/06/30,52510.00
D795_01N_IDC2834,Rietspruit River Culvert,Major Culvert,Culvert Major,2012/11/29,01N,D795,13.60,28.14,-25.96,2022/06/30,216000.00
D817_01N_B4514,Road D817 over rail,Bridge,Bridge,2012/10/08,01N,D817,3.00,28.22,-26.39,2022/06/30,49410.00
D83_01N_B1148,D83 (R54) over Grootspruit,Bridge,Bridge,2012/10/03,01N,D83,40.00,28.30,-26.86,2022/06/30,70580.00
D83_01N_B2120,D83 (R54) over Suikerbosrant  River,Bridge,Bridge,2012/10/04,01N,D83,6.00,28.05,-26.68,2022/06/30,289950.00
D83_01N_B2751,Road D83 over river,Bridge,Bridge,2012/10/02,01N,D83,1.00,28.27,-26.85,2022/06/30,38100.00
D83_01N_IDC2013,D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,1.00,28.17,-26.80,2022/06/30,19910.00
D83_01N_IDC2015,D83 over Spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,1.00,28.21,-26.83,2022/06/30,372410.00
D83_01N_IDC2016,D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,30.00,28.21,-26.83,2022/06/30,10760.00
D83_01N_IDC2777,Road D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,26.00,28.18,-26.81,2022/06/30,4000.00
D871_01N_B669,Road D871 over river,Bridge,Bridge,2012/10/02,01N,D871,1.00,28.23,-26.64,2022/06/30,44700.00
D878_01N_B1138,Road D878 over river,Bridge,Bridge,2012/10/09,01N,D878,1.00,28.02,-26.58,2022/06/30,315090.00
D93_01N_B4634,D93-01,Bridge,Bridge,2012/10/30,01N,D93,12.20,27.74,-26.27,2022/06/30,25110.00
D93_01N_IDC1508,D93-02,Major Culvert,Culvert Major,2012/10/31,01N,D93,0.67,27.80,-26.25,2022/06/30,3067.50
D94_01N_IDB1770,D94-02,Bridge,Bridge,2012/10/17,01N,D94,0.33,27.86,-26.43,2022/06/30,141050.00
D94_01N_IDC0815,D94-01,Major Culvert,Culvert Major,2012/10/11,01N,D94,15.00,27.77,-26.49,2022/06/30,30000.00
D96_01N_B1314,Mattys Johannes Redelingshuys Bridge 1314,Bridge,Bridge,2012/10/04,01N,D96,10.20,27.54,-25.97,2022/06/30,372250.00
D96_01N_IDC1109,Tributory to Magaliesriver C2,Major Culvert,Culvert Major,2012/10/17,01N,D96,6.40,27.57,-25.95,2022/06/30,25200.00
D96_01N_IDC1161,Tributory to Magaliesriver,Major Culvert,Culvert Major,2012/10/17,01N,D96,9.50,27.54,-25.97,2022/06/30,14850.00
D96_01N_IDC1324,Tributary to  Magalies River,Major Culvert,Culvert Major,2012/10/17,01N,D96,2.60,27.60,-25.93,2022/06/30,61350.00
D960_01N_B901,Bridge 901 over the Wilge River,Bridge,Bridge,2012/09/25,01N,D960,22.80,28.85,-25.96,2022/06/30,281410.00
D960_01N_IDC0350,Culvert at km 20 on Route D960,Major Culvert,Culvert Major,2012/09/25,01N,D960,20.00,28.84,-25.95,2022/06/30,368100.00
D962_01N_B3602,D962-01,Bridge,Bridge,2012/10/11,01N,D962,1.40,27.64,-26.46,2022/06/30,40050.00
D962_01N_B3603,D962-02,Bridge,Bridge,2012/10/16,01N,D962,20.95,27.67,-26.43,2022/06/30,15000.00
D962_01N_B3604,D962-03,Bridge,Bridge,2012/10/16,01N,D962,7.80,27.68,-26.42,2022/06/30,250060.00
D964_01N_IDC2835,New Culvert C01,Major Culvert,Culvert Major,2012/11/12,01N,D964,1.20,28.43,-25.78,2022/06/30,1890.00
D964_01N_IDC2836,New Culvert C02,Major Culvert,Culvert Major,2012/11/12,01N,D964,6.10,28.44,-25.82,2022/06/30,31000.00
D98_01N_B1376,Zeekonhoek Bridge 1376,Bridge,Bridge,2012/10/09,01N,D98,4.40,27.56,-25.95,2022/06/30,60430.00
D99_01N_C549,Swartspruit,Major Culvert,Culvert Major,2012/10/17,01N,D99,0.70,27.59,-25.90,2022/06/30,10080.00
D99_01N_IDC0743,Tibutory to Kleinrivier,Major Culvert,Culvert Major,2012/10/17,01N,D99,11.90,27.50,-25.88,2022/06/30,4830.00
K103_01N_B4721,Pedestrian bridge at Waterkloof,Bridge,Bridge,2012/10/16,01N,K103,2.10,28.21,-25.82,2022/06/30,76350.00
K103_01N_B4866A,Hennops River Bridge 1,Bridge,Bridge,2012/10/17,01N,K103,4.36,28.15,-25.83,2022/06/30,14380.00
K103_01N_B4867A,Hennops River Bridge 2,Bridge,Bridge,2012/10/17,01N,K103,4.43,28.15,-25.83,2022/06/30,4020.00
K103_01N_B4868A,Tributary of Hennops River,Bridge,Bridge Cellular,2016/07/21,1,K103,6.50,28.17,-25.82,2022/06/30,17170.00
K103_01N_B748A,Bridge A on Route K103 EBC,Bridge,Bridge,2012/10/17,01N,K103,2.50,28.20,-25.82,2022/06/30,28950.00
K103_01N_B748B,Bridge B on Route K103 WBC,Bridge,Bridge,2012/10/17,01N,K103,2.50,28.20,-25.82,2022/06/30,34760.00
K103_01N_IDB1635,K103 Gautrain Underpass,Bridge,Bridge Cellular,2016/07/22,01N,K103,5.80,28.18,-25.82,2022/06/30,0.00
K103_01N_IDC2511,Hennops River Culvert,Major Culvert,Culvert Major,2012/10/18,01N,K103,4.40,28.15,-25.83,2022/06/30,3750.00
K103_01N_IDC2551,Hennops Culvert East,Major Culvert,Culvert Major,2012/10/18,01N,K103,4.45,28.15,-25.83,2022/06/30,3750.00
K103_01N_IDC2865,Culvert at K103 km 0.1,Major Culvert,Culvert Major,2012/10/16,01N,K103,0.10,28.24,-25.81,2022/06/30,0.00
K109_01N_B4206,Unknown,Bridge,Bridge Cellular,2016/07/22,1,K109,1.00,28.31,-26.03,2022/06/30,47660.00
K109_01N_B5137,Unknown,Bridge,Bridge Cellular,2016/07/21,1,P109,4.90,28.32,-26.06,2022/06/30,36540.00
K109_01N_IDB1884,uknown,Bridge,Bridge,2012/10/24,01N,K109,0.50,28.31,-26.02,2022/06/30,64760.00
K111_01N_B5486,IVORY PARK BRIDGE 2 AT THEMBA INKOSI INFORMAL SETTLEMENT,Bridge,Bridge Cellular,2016/07/21,1,K111,3.80,28.19,-25.99,2022/06/30,54350.00
K111_01N_IDB2149,IVORY PARK BRIDGE 1,Bridge,Bridge,2012/11/07,01N,K111,2.20,28.20,-25.98,2022/06/30,52960.00
K13_01N_IDB2546,K13 over Wonderfonteinspruit,Bridge,Bridge Cellular,2016/04/15,,,,27.76,-26.15,2022/06/30,18000.00
K13_01N_IDC2620,K13-01,Major Culvert,Culvert Major,2012/11/01,01N,K13,1.14,27.77,-26.13,2022/06/30,6300.00
K13_01N_IDC2625,K13-02,Major Culvert,Culvert Major,2012/11/01,01N,K13,1.15,27.77,-26.13,2022/06/30,24504.00
K13_01N_IDC2663,k13-04,Major Culvert,Culvert Major,2012/11/01,01N,K13,1.52,27.77,-26.14,2022/06/30,0.00
K13_01N_IDC2676,K13-05,Major Culvert,Culvert Major,2012/11/01,01N,K13,3.37,27.76,-26.15,2022/06/30,0.00
K13_01N_IDC2692,k13-06,Major Culvert,Culvert Major,2012/11/01,01N,K13,3.78,27.76,-26.15,2022/06/30,0.00
K13_01N_IDC2726,k13-09,Major Culvert,Culvert Major,2012/11/01,01N,K13,5.87,27.76,-26.18,2022/06/30,0.00
K146_01N_B5507,K146 over river,Bridge,Bridge Cellular,2016/05/17,,D1484,,28.18,-26.40,2022/06/30,968900.00
K146_01N_B5524A,K146 over river,Bridge,Bridge,2012/10/08,01N,D64,4.00,28.20,-26.40,2022/06/30,109900.00
K146_01N_B5525A,K164 over rail,Bridge,Bridge,2012/10/08,01N,D64,2.00,28.20,-26.40,2022/06/30,1438350.00
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,2012/10/08,01N,D64,1.00,28.12,-26.36,2022/06/30,229890.00
K175_01N_B5102A,Honde River Bridge,Bridge,Bridge,2012/09/28,01N,K175,20.20,28.70,-25.80,2022/06/30,8040.00
K175_01N_B5103A,Railway Bridge on Route K175,Bridge,Bridge,2012/09/27,01N,K175,21.50,28.70,-25.79,2022/06/30,6850.00
K175_01N_B5104A,River Bridge on route K175,Bridge,Bridge,2012/09/27,01N,K175,23.90,28.69,-25.77,2022/06/30,36670.00
K175_01N_IDC0397,Culvert at km 22.5 on Route K175,Major Culvert,Culvert Major,2012/09/28,01N,K175,22.50,28.69,-25.78,2022/06/30,15000.00
K175_01N_IDC0423,Culvert on Route K175,Major Culvert,Culvert Major,2012/09/28,01N,K175,15.80,28.69,-25.84,2022/06/30,0.00
K175_01N_IDC0424,Culvert at km 1 on k175 route,Major Culvert,Culvert Major,2012/09/28,01N,K175,1.00,28.69,-25.85,2022/06/30,7500.00
K175_01N_IDC0460,Culvert at kn 13.5 at route K1756,Major Culvert,Culvert Major,2012/09/27,01N,K175,13.50,28.69,-25.86,2022/06/30,21600.00
K175_01N_IDC0471,Culvert at km 26 on route K175,Major Culvert,Culvert Major,2012/09/27,01N,K175,26.00,28.69,-25.75,2022/06/30,1500.00
K175_01N_IDC0473,Culvert at km 25 on route K175,Major Culvert,Culvert Major,2012/09/27,01N,K175,25.00,28.69,-25.76,2022/06/30,630.00
K197_01N_B5110,Tributory to Wonderfonteinspruit River C5110 ,Major Culvert,Culvert Major,2012/10/16,01N,K197,3.50,27.75,-26.09,2022/06/30,28700.00
K198_01N_B5291,K198-01,Bridge,Bridge,2012/10/31,01N,K198,23.52,27.72,-26.18,2022/06/30,56800.00
K198_01N_B5292A,K198-02,Bridge,Bridge,2012/10/31,01N,K198,28.20,27.77,-26.18,2022/06/30,34880.00
K27_01N_B5142,OLIFANTSFONTEIN I/S RIVER BRIDGE,Bridge,Bridge Cellular,2016/07/22,1,K27,51.30,28.21,-25.96,2022/06/30,0.00
K27_01N_B5144A,K27 over Hospital Road,Bridge,Bridge,2012/10/17,01N,K27,55.30,28.24,-25.98,2022/06/30,6200.00
K27_01N_B5144B,K27 over Hospital Road ,Bridge,Bridge,2012/10/17,01N,K27,55.66,28.24,-25.98,2022/06/30,34630.00
K27_01N_B5145A,K27 over rail,Bridge,Bridge,2012/10/17,01N,K27,55.60,28.24,-25.98,2022/06/30,3000.00
K27_01N_IDB1796,R562 (K27) PEDESTRIAN BRIDGE,Bridge,Bridge,2012/10/17,01N,K27,52.62,28.22,-25.97,2022/06/30,17960.00
K27_01N_IDC1229,RANDTJIESFONTEIN UNDERPASS,Major Culvert,Culvert Major,2012/10/31,01N,K27,45.50,28.15,-25.95,2022/06/30,0.00
K27_01N_IDC1790,Hospital Road Culvert,Major Culvert,Culvert Major,2012/10/17,01N,K27,55.32,28.24,-25.98,2022/06/30,0.00
K27_01N_IDC1795,OLIFANTSFONTEIN INDUSTRIAL CULVERT,Major Culvert,Culvert Major,2012/10/17,01N,K27,54.70,28.23,-25.98,2022/06/30,31567.50
K27_01N_IDC1799,Groenvoer Farm underpass,Major Culvert,Culvert Major,2012/10/17,01N,K27,49.80,28.19,-25.96,2022/06/30,0.00
K4_01N_B4881,4881 over Labeleng to Akasiaboom Rail,Bridge,Bridge,2012/10/23,01N,K4,0.42,28.07,-25.55,2022/06/30,72010.00
K54_01N_B5186,River Bridge,Bridge,Bridge,2012/11/07,01N,K54,0.40,28.42,-25.68,2022/06/30,39200.00
K69_01N_B4629,RIVER BRIDGE,Bridge,Bridge,2012/11/28,01N,K69,37.80,28.30,-25.80,2022/06/30,66930.00
K69_01N_B5356A,Rail Bridge A,Bridge,Bridge,2012/11/06,01N,K69,4.20,28.40,-25.73,2022/06/30,6000.00
K69_01N_B5356B,Rail Bridge B,Bridge,Bridge,2012/11/06,01N,K69,4.20,28.40,-25.73,2022/06/30,49110.00
K69_01N_B5358,K69 (M10) over Pienaars River,Bridge,Bridge,2012/11/06,01N,K69,0.80,28.37,-25.75,2022/06/30,24000.00
K69_01N_C4630,CULVERT,Major Culvert,Culvert Major,2012/11/12,01N,K69,6.80,28.32,-25.79,2022/06/30,0.00
K69_01N_C5065,CULVERT,Major Culvert,Culvert Major,2012/11/12,01N,K69,10.90,28.29,-25.81,2022/06/30,0.00
K73_01N_B3763A,Sand Spruit,Bridge,Bridge,2012/11/19,01N,K73,0.20,28.06,-26.04,2022/06/30,800.00
K73_01N_B3763B,Sand Spruit,Bridge,Bridge,2012/11/19,01N,K73,0.20,28.06,-26.04,2022/06/30,12050.00
K8_01N_B2409,2409 over Wilderbeesthoek to Lynross Rail,Bridge,Bridge,2012/10/17,01N,K8,15.60,28.05,-25.62,2022/06/30,46870.00
K8_01N_B2953,2953 over Rosslyn Rail,Bridge,Bridge,2012/10/17,01N,K8,10.83,28.09,-25.63,2022/06/30,83050.00
