Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
P67_01N_B4078,unknown,Bridge,Bridge,2012/10/24,01N,P67,6.20,2022/06/30,2016/05/31,18740129.00,27842969.00,31418380.00,110900.00,12567351.00,30100,61.40,17.00,6.00,,,,,,,,,,,,,1.00,0.6,40
P72_01N_IDC2368,drainage,Major Culvert,Culvert Major,2012/10/31,01N,P72,5.50,2022/06/30,2016/06/02,237351.00,429098.00,429097.50,15280.00,176466.00,24450,,,,,4.5,3.9,0.60,,,,,,,,,,0.589,47
P66_01N_IDC2153,TINTSWALO CULVERT,Major Culvert,Culvert Major,2012/11/07,01N,P66,26.50,2022/06/30,2016/06/20,657892.00,1273602.00,1409787.00,172120.00,579775.00,24450,,,,,18.6,3.1,0.30,,,,,,,,,,0.589,47
P73_01N_B5257B,-,Bridge,Bridge,2012/10/29,01N,P73,62.00,2022/06/30,2016/06/06,8507961.00,13414516.00,16260020.00,109850.00,7642209.00,30100,29.20,18.50,6.91,,,,,,,,,,,,,1.00,0.53,47
P67_01N_B4059B,Bridge over Alexander Dam near Dersley,Bridge,Bridge,2012/10/06,01N,P67,6.60,2022/06/30,2016/07/27,10491574.00,16605951.00,17600370.00,68650.00,7040148.00,30100,43.80,13.35,2.30,,,,,,,,,,,,,1.00,0.6,40
P66_01N_B5566A,Rietspruit River,Bridge,Bridge,2012/10/18,01N,P66,4.80,2022/06/30,2016/06/28,19277643.00,21918547.00,22418480.00,2250.00,3138587.00,30100,56.00,13.30,6.00,,,,,,,,,,,,,1.00,0.86,14
P74_01N_IDC0726,Skeerpoort River,Major Culvert,Culvert Major,2012/10/17,01N,P74,8.90,2022/06/30,2016/05/11,446243.00,757950.00,757950.00,0.00,311707.00,24450,,,,,3.1,10,2.00,,,,,,,,,,0.589,47
P67_01N_B4058A,Road over abandoned Rail bridge at Dersley on R51,Bridge,Bridge,2012/10/07,01N,P67,6.90,2022/06/30,2016/07/27,16841559.00,26658881.00,28463460.00,236520.00,11385385.00,30100,71.10,13.30,6.89,,,,,,,,,,,,,1.00,0.6,40
P66_01N_IDC2568,Tributary of Rietspruit,Major Culvert,Culvert Major,2012/10/18,01N,P66,5.90,2022/06/30,2016/05/20,1528557.00,1756304.00,1756304.00,12600.00,215147.00,29350,,,,,8.8,6.8,4.50,,,,,,,,,,0.878,14
P72_01N_B3828,drainage,Bridge,Bridge Cellular,2012/10/31,01N,P72,9.70,2022/06/30,2016/06/02,1842091.00,2983963.00,3154295.00,15000.00,1297204.00,24450,,,,,13.3,9.7,1.50,,,,,,,,,,0.589,47
P73_01N_C2271,Drainage,Major Culvert,Culvert Major,2012/10/19,01N,P73,17.40,2022/06/30,2016/05/31,2081497.00,3523812.00,3544013.00,5040.00,1457475.00,29350,,,,,11.5,10.5,4.00,,,,,,,,,,0.589,47
P73_01N_B2206B,-,Bridge,Bridge,2012/10/28,01N,P73,17.40,2022/06/30,2016/05/10,7228714.00,13391267.00,13696700.00,30540.00,6437450.00,30100,28.80,15.80,5.29,,,,,,,,,,,,,1.00,0.53,47
P70_01N_IDC1984,Wilgespruit Tributary,Major Culvert,Culvert Major,2012/11/09,01N,P70,4.60,2022/06/30,2016/05/17,725073.00,1231546.00,1231547.00,0.00,506473.00,24450,,,,,7.3,6.9,1.00,,,,,,,,,,0.589,47
P79_01N_B527,DIEPSLOOT RIVER BRIDGE ,Bridge,Bridge,2012/11/12,01N,P79,9.10,2022/06/30,2016/06/25,1873341.00,3584104.00,3873870.00,179810.00,1820719.00,30100,14.30,9.00,3.50,,,,,,,,,,,,,1.00,0.53,47
P70_01N_IDC2750,KING FISHER ROAD STREAM CULVERT,Major Culvert,Culvert Major,2012/11/19,01N,P70,11.95,2022/06/30,2016/05/13,3619047.00,4298158.00,4449900.00,52120.00,778733.00,24450,,,,,5.2,35,0.30,,,,,,,,,,0.825,20
P73_01N_IDC1596,Drainage,Major Culvert,Culvert Major,2012/10/20,01N,P73,21.25,2022/06/30,2016/05/31,4430762.00,7525710.00,7525710.00,0.00,3094948.00,24450,,,,,18,17.1,0.20,,,,,,,,,,0.589,47
P72_01N_B3570A,-,Bridge,Bridge,2012/10/22,01N,P72,3.80,2022/06/30,2016/05/05,3427658.00,6190937.00,6495580.00,15000.00,3052922.00,30100,16.60,13.00,3.60,,,,,,,,,,,,,1.00,0.53,47
P66_01N_B5566B,Rietspruit river,Bridge,Bridge,2012/10/18,01N,P66,4.80,2022/06/30,2016/06/28,19184643.00,21884921.00,22418480.00,95250.00,3138587.00,30100,56.00,13.30,6.00,,,,,,,,,,,,,1.00,0.86,14
P79_01N_B5518A,MONTE CASINO BRIDGE ON WILLIAM NICOL ,Bridge,Bridge,2012/11/12,01N,P79,2.13,2022/06/30,2016/04/05,14611240.00,27027054.00,27685980.00,62330.00,13012410.00,30100,51.10,18.00,5.89,,,,,,,,,,,,,1.00,0.53,47
P89_01N_B1901,Elandsfontein Bridge 1901,Bridge,Bridge,2012/10/11,01N,P89,10.50,2022/06/30,2016/04/18,5171265.00,9426648.00,9897783.00,74560.00,4651958.00,30100,29.10,11.30,5.00,,,,,,,,,,,,,1.00,0.53,47
P91_01N_B4648,Isando Railway Bridge,Bridge,Bridge,2012/10/11,01N,P91,11.20,2022/06/30,2016/06/09,23169084.00,36217812.00,37384200.00,9120.00,14205996.00,30100,103.50,12.00,5.60,,,,,,,,,,,,,1.00,0.62,38
P91_01N_B4649,Abandoned Railway Bridge repurposed to Pedestrian Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.05,2022/06/30,2020/03/16,15359350.00,20228487.00,25752370.00,607120.00,9785900.00,45140,81.50,7.00,8.72,,,,,,,,,,,,,1.00,0.62,38
P95_02N_B4293,"Culvert at km 32.2 on route R42, section P95/2",Bridge,Bridge Cellular,2012/10/03,02N,P95,32.20,2022/06/30,2016/04/26,1108810.00,1901232.00,1901232.00,10540.00,781882.00,24450,,,,,10.8,7.2,0.30,,,,,,,,,,0.589,47
P79_01N_IDC2172,DIEPSLOOT CULVERT ,Major Culvert,Culvert Major,2012/11/12,01N,P79,13.00,2022/06/30,2016/05/17,143584.00,224627.00,268950.00,14760.00,110606.00,24450,,,,,5.5,2,0.40,,,,,,,,,,0.589,47
P95_02N_B1634,Bridge number 1634,Bridge,Bridge,2012/09/24,02N,P95,23.00,2022/06/30,2016/03/08,3353702.00,5956815.00,6339060.00,6000.00,2979358.00,30100,27.00,7.80,3.00,,,,,,,,,,,,,1.00,0.53,47
P92_01N_IDC0757,"Culvert (362), Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/17,01N,P92,5.80,2022/06/30,2016/06/08,705352.00,1061952.00,1198050.00,0.00,492698.00,24450,,,,,7,7,0.50,,,,,,,,,,0.589,47
P88_01N_IDC0807,P88/1-03,Major Culvert,Culvert Major,2012/10/16,01N,P88,14.00,2022/06/30,2016/05/31,1376198.00,2420804.00,2444022.00,62720.00,1005104.00,24450,,,,,10.2,9.8,0.00,,,,,,,,,,0.589,47
P91_01N_IDC1417,Greenstone / Golf Club Culvert,Major Culvert,Culvert Major,2012/10/11,01N,P91,8.20,2022/06/30,2016/06/21,3210071.00,5452350.00,5452350.00,0.00,2242279.00,24450,,,,,44.6,5,1.00,,,,,,,,,,0.589,47
P88_01N_IDC0881,P88/1-02,Major Culvert,Culvert Major,2012/10/11,01N,P88,13.00,2022/06/30,2016/05/18,1609855.00,2591161.00,2747202.00,7560.00,1129787.00,24450,,,,,10.6,10.6,0.00,,,,,,,,,,0.589,47
P79_01N_IDC2796,Fourways Mall Culvert,Major Culvert,Culvert Major,2012/11/12,01N,P79,2.40,2022/06/30,2016/05/17,10348148.00,16137691.00,17640680.00,37800.00,7254728.00,24450,,,,,15,48.1,2.00,,,,,,,,,,0.589,47
P95_01N_C173,Culvert at km 3 on route P95,Major Culvert,Culvert Major,2012/09/27,01N,P95,3.00,2022/06/30,2016/04/25,557634.00,968550.00,968550.00,12600.00,398316.00,29350,,,,,6,5.5,3.00,,,,,,,,,,0.589,47
P89_01N_IDC1813,Tributory to Wonderfonteinspruit,Major Culvert,Culvert Major,2012/10/09,01N,P89,11.30,2022/06/30,2016/05/18,358373.00,611250.00,611250.00,1500.00,251377.00,24450,,,,,5,5,2.00,,,,,,,,,,0.589,47
P95_02N_B4290,Culvert at km 28 on route R42 section P95/2,Bridge,Bridge Cellular,2012/09/24,02N,P95,28.00,2022/06/30,2016/04/26,1497649.00,2486034.00,2543778.00,0.00,1046129.00,24450,,,,,10.2,10.2,0.50,,,,,,,,,,0.589,47
P95_01N_B4294,Railway & River Bridge,Bridge,Bridge,2012/10/16,01N,P95,6.20,2022/06/30,2016/03/08,71899790.00,116146840.00,119887300.00,32610.00,47954928.00,45140,227.00,11.70,18.00,,,,,,,,,,,,,1.00,0.6,40
P91_01N_B3153,Modderfontein On Ramp Bridge,Bridge,Bridge,2012/10/11,01N,P91,6.70,2022/06/30,2016/06/09,31571888.00,59216812.00,64052800.00,198300.00,32282612.00,30100,133.00,16.00,5.35,,,,,,,,,,,,,1.00,0.496,51
P88_01N_IDC0791,P88/1-01,Major Culvert,Culvert Major,2012/10/16,01N,P88,9.00,2022/06/30,2016/05/18,2285340.00,2999376.00,3881682.00,0.00,1596342.00,24450,,,,,12.6,12.6,0.00,,,,,,,,,,0.589,47
P89_01N_B1016,Elandsfontein Bridge 1016,Bridge,Bridge,2012/10/11,01N,P89,11.80,2022/06/30,2016/04/18,1284654.00,2180367.00,2437799.00,7380.00,1145765.00,30100,18.20,4.45,5.30,,,,,,,,,,,,,1.00,0.53,47
P95_02N_B280,P95/2 over stream,Bridge,Bridge Cellular,2012/09/24,02N,P95,17.50,2022/06/30,2016/04/27,739071.00,1238436.00,1282158.00,15800.00,527287.00,24450,,,,,7.6,6.9,0.10,,,,,,,,,,0.589,47
P91_01N_IDC1914,Modderfontein Road Culvert C006,Major Culvert,Culvert Major,2012/10/09,01N,P91,11.40,2022/06/30,2016/06/22,2280158.00,3872880.00,3872880.00,0.00,1592722.00,24450,,,,,36,4.4,0.50,,,,,,,,,,0.589,47
P91_01N_IDC1912,Moddefontein Culvert C004,Major Culvert,Culvert Major,2012/10/11,01N,P91,10.60,2022/06/30,2016/06/21,3421083.00,5811300.00,5811300.00,320.00,2389897.00,29350,,,,,45,4.4,3.00,,,,,,,,,,0.589,47
P91_01N_B4729A,Isando Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.10,2022/06/30,2016/06/08,24270099.00,35424276.00,37968140.00,29510.00,13668531.00,30100,59.50,21.20,5.70,,,,,,,,,,,,,1.00,0.64,36
P95_01N_B1423,Groot River Bridge,Bridge,Bridge,2012/09/26,01N,P95,24.70,2022/06/30,2016/02/25,4024314.00,7426735.00,7631253.00,20250.00,3586689.00,30100,31.30,8.10,4.00,,,,,,,,,,,,,1.00,0.53,47
P91_01N_IDC1913,Moddefontein Culvert C005,Major Culvert,Culvert Major,2012/10/09,01N,P91,10.85,2022/06/30,2016/06/22,2582329.00,4057282.00,4401000.00,8760.00,1809911.00,24450,,,,,45,4,2.00,,,,,,,,,,0.589,47
P95_01N_C4293,Culvert at km 1.3 on route P5101,Major Culvert,Culvert Major,2012/09/27,01N,P95,1.30,2022/06/30,2016/04/25,5815555.00,9877800.00,9877800.00,0.00,4062245.00,24450,,,,,40,10.1,0.30,,,,,,,,,,0.589,47
P89_01N_B1052,Tributory to Wonderfonteinspruit river C1052,Bridge,Bridge Cellular,2012/10/09,01N,P89,2.40,2022/06/30,2016/05/18,944886.00,1625203.00,1653309.00,28500.00,679923.00,24450,,,,,6.9,9.8,1.00,,,,,,,,,,0.589,47
P79_01N_B5518B,MONTE CASINO BRIDGE ON WILLIAM NICOL ,Bridge,Bridge,2012/11/12,01N,P79,2.13,2022/06/30,2016/04/05,16146797.00,29823952.00,30762200.00,157170.00,14458233.00,30100,51.10,20.00,7.60,,,,,,,,,,,,,1.00,0.53,47
P91_01N_B1110,Kaalfontein Train Station Bridge,Bridge,Bridge,2012/11/09,01N,P91,21.40,2022/06/30,2016/06/23,3684839.00,7167129.00,8217300.00,62250.00,4470211.00,30100,15.00,18.20,4.90,,,,,,,,,,,,,1.00,0.456,61
P88_01N_B988A,-,Bridge,Bridge,2012/10/27,01N,P88,8.05,2022/06/30,2016/05/13,3898295.00,6740752.00,7419650.00,34120.00,3487235.00,30100,17.00,14.50,6.50,,,,,,,,,,,,,1.00,0.53,47
P91_01N_IDC1907,Modderfontein Culvert,Major Culvert,Culvert Major,2012/10/11,01N,P91,7.10,2022/06/30,2016/06/21,5519769.00,9208314.00,9450240.00,44060.00,3886411.00,34240,,,,,46,6,6.00,,,,,,,,,,0.589,47
P88_01N_IDC1487,Drainage,Major Culvert,Culvert Major,2012/10/20,01N,P88,19.60,2022/06/30,2016/06/01,1771297.00,3008572.00,3008573.00,0.00,1237275.00,24450,,,,,11.5,10.7,0.00,,,,,,,,,,0.589,47
P91_01N_B4729B,Isando Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.10,2022/06/30,2016/06/08,20267127.00,36108657.00,38287200.00,25090.00,17994983.00,30100,60.00,21.20,5.54,,,,,,,,,,,,,1.00,0.53,47
P88_01N_B988B,-,Bridge,Bridge,2012/10/27,01N,P88,8.05,2022/06/30,2016/05/13,3916547.00,7138137.00,7437108.00,25120.00,3495441.00,30100,17.40,14.20,5.37,,,,,,,,,,,,,1.00,0.53,47
P91_02N_B4183,unknown,Bridge,Bridge,2012/10/26,02N,P91,3.50,2022/06/30,2016/06/23,8280967.00,13552108.00,14736960.00,119100.00,6336893.00,30100,36.00,13.60,6.40,,,,,,,,,,,,,1.00,0.57,43
P95_02N_IDC0348,"Culvert at km 28.5 on route R42, section 28.5",Major Culvert,Culvert Major,2012/09/24,02N,P95,28.50,2022/06/30,2016/04/26,173349.00,305136.00,305136.00,6300.00,125487.00,24450,,,,,3.9,3.2,0.30,,,,,,,,,,0.589,47
P95_02N_B4289,Culvert at km 24.5 on road P95/2,Bridge,Bridge Cellular,2012/09/24,02N,P95,24.50,2022/06/30,2016/04/27,108538.00,180168.00,184353.00,0.00,75815.00,24450,,,,,2.9,2.6,0.30,,,,,,,,,,0.589,47
P186_1_B1723A,Klip River Bridge A,Bridge,Bridge,2011/10/20,1,P186,90.41,2022/06/30,2016/04/22,7453851.00,12527560.00,12971170.00,69430.00,5447893.00,30100,33.20,12.98,3.90,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1724A,Midway-Lenz Road over Rail (N12NB),Bridge,Bridge,2011/10/20,1,P186,91.03,2022/06/30,2016/04/22,8400884.00,13155684.00,14552750.00,39710.00,6112154.00,30100,30.60,15.80,6.70,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1725A,Protea South Rail Bridge A,Bridge,Bridge,2011/10/17,1,P186,91.22,2022/06/30,2016/04/22,2709930.00,5366912.00,5682880.00,586140.00,2386810.00,30100,11.80,16.00,5.20,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1726A,St Marks St. Underpass,Bridge,Bridge,2011/10/19,1,P186,94.78,2022/06/30,2016/04/22,5966739.00,9991861.00,10486840.00,10760.00,4509341.00,30100,13.00,26.80,4.65,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1727A,Klipspruit Bridge A,Bridge,Bridge,2011/10/18,1,P186,94.99,2022/06/30,2016/04/23,25531456.00,41554026.00,44894150.00,58210.00,19304486.00,30100,95.00,15.70,5.00,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1728,East Road Overpass,Bridge,Bridge,2011/10/18,1,P186,95.92,2022/06/30,2016/04/23,11189341.00,17018933.00,19987000.00,203250.00,8594411.00,30100,55.80,11.90,6.70,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1729A,Concorde Road Underpass (N12NB),Bridge,Bridge,2011/10/18,1,P186,97.39,2022/06/30,2016/04/22,13147777.00,21912143.00,23207100.00,80270.00,9979053.00,30100,50.00,15.42,6.10,,,,,,,,,,,,,1.00,0.57,43
P3_6_B1971A,Midway-Bank Road over Rail (N12NB),Bridge,Bridge,2011/10/21,6,P3,85.59,2022/06/30,2016/04/21,8629549.00,18216711.00,18760770.00,75450.00,10055775.00,30100,50.55,12.33,6.10,,,,,,,,,,,,,1.00,0.464,59
P186_1_B3945A,Golden Highway (R553) Overpass Bridge A,Bridge,Bridge,2011/10/17,1,P186,99.23,2022/06/30,2016/04/23,18814397.00,31007363.00,33259000.00,143230.00,14301369.00,30100,77.00,14.35,7.90,,,,,,,,,,,,,1.00,0.57,43
P186_1_B3945B,Golden Highway (R553) Overpass Bridge B,Bridge,Bridge,2011/10/17,1,P186,99.26,2022/06/30,2016/04/22,15868152.00,31578190.00,33604540.00,127610.00,17608782.00,30100,77.80,14.35,7.90,,,,,,,,,,,,,1.00,0.476,56
P186_1_B4101,Lizard Street Overpass,Bridge,Bridge,2011/10/19,1,P186,91.98,2022/06/30,2016/04/22,15873272.00,25721495.00,27568590.00,116510.00,11578808.00,30100,64.50,14.20,6.40,,,,,,,,,,,,,1.00,0.58,42
P186_1_B4102A,Lenasia I/C: Klipspruit Valley (M10) Bridge A (N12 EB),Bridge,Bridge,2011/10/19,1,P186,94.25,2022/06/30,2016/04/22,13837944.00,23500245.00,24352590.00,43030.00,10471612.00,30100,52.40,15.44,6.10,,,,,,,,,,,,,1.00,0.57,43
P158_1_B5098,Soweto/R554 I/C: R554 Overpass,Bridge,Bridge,2011/10/20,1,P186,91.49,2022/06/30,2016/04/22,39545700.00,66168206.00,68256860.00,43280.00,28667884.00,30100,161.40,14.05,6.30,,,,,,,,,,,,,1.00,0.58,42
P186_1_B5512,Eldorado Park Pedestrian Bridge,Bridge,Bridge,2011/10/18,1,P186,96.63,2022/06/30,2016/04/23,3895364.00,6647442.00,6877850.00,25010.00,2957476.00,30100,91.40,2.50,7.50,,,,,,,,,,,,,1.00,0.57,43
P3_6_C0015,Zuurbekom Sats Access,Major Culvert,Culvert Major,2011/10/21,6,P3,86.88,2022/06/30,2016/05/19,357788.00,739612.00,739612.50,0.00,381825.00,24450,,,,,5.5,5.5,1.00,,,,,,,,,,0.484,59
P186_1_B4136,P186/1 (N12) over Harrington Spruit,Bridge,Bridge Cellular,2011/10/17,1,P186,97.23,2022/06/30,2016/05/20,4024475.00,6464704.00,6501765.00,31000.00,2446289.00,29350,,,,,15.08,14.69,3.00,,,,,,,,,,0.624,43
P186_1_IDC0017z,Harringtonspruit & Rand Water,Major Culvert,Culvert Major,2011/10/17,1,P186,98.45,2022/06/30,2016/05/20,381267.00,611250.00,611250.00,0.00,229983.00,24450,,,,,5,5,1.00,,,,,,,,,,0.624,43
P186_1_B1723B,Klip River Bridge B,Bridge,Bridge,2011/10/19,1,P186,90.41,2022/06/30,,,,,,,30100,33.20,12.98,4.00,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1724B,Midway-Lenz Road over Rail (N12SB),Bridge,Bridge,2011/10/20,1,P186,94.49,2022/06/30,2016/04/22,7351792.00,11070048.00,12848250.00,100190.00,5396263.00,30100,28.40,15.03,6.50,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1725B,Protea South Rail Bridge B,Bridge,Bridge,2011/10/20,1,P186,94.71,2022/06/30,2016/04/22,3374431.00,5332058.00,5879433.00,35640.00,2469362.00,30100,10.20,19.15,5.56,,,,,,,,,,,,,1.00,0.58,42
P186_1_B1726B,St Marks Street Underpass (N12SB),Bridge,Bridge,2011/10/19,1,P186,98.28,2022/06/30,2016/04/22,2995367.00,4979652.00,5319573.00,36790.00,2287416.00,30100,12.90,13.70,4.80,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1726C,St Marks Street Underpass (N12SB offramp),Bridge,Bridge,2011/10/19,1,P186,98.29,2022/06/30,,,,,,,30100,12.70,29.98,4.80,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1727B,Klipspruit Bridge B,Bridge,Bridge,2012/01/09,1,P186,98.51,2022/06/30,2016/04/23,21198101.00,34838703.00,37268620.00,45010.00,16025505.00,30100,93.80,13.20,4.80,,,,,,,,,,,,,1.00,0.57,43
P186_1_B1729B,Concorde Road Underpass (N12SB),Bridge,Bridge,2011/11/03,1,P186,100.89,2022/06/30,2016/04/23,2682834.00,4317513.00,4702662.00,44710.00,1975118.00,30100,11.89,13.14,5.30,,,,,,,,,,,,,1.00,0.58,42
P3_6_B1971B,Midway-Bank Road over Rail (N12SB),Bridge,Bridge,2011/10/21,6,P3,90.22,2022/06/30,2016/04/21,8825019.00,18488796.00,19019440.00,0.00,10194419.00,30100,50.55,12.50,5.89,,,,,,,,,,,,,1.00,0.464,59
P186_1_B4102B,Lenasia I/C: Klipspruit Valley (M10) Bridge B (N12 WB),Bridge,Bridge,2011/10/19,1,P186,97.75,2022/06/30,2016/04/22,13897494.00,23809950.00,24445530.00,36460.00,10511580.00,30100,52.60,15.44,6.20,,,,,,,,,,,,,1.00,0.57,43
P126_01N_B1670,Rietspruit Bridge 2,Bridge,Bridge,2012/01/18,13E,N014,97.44,2022/06/30,2016/03/31,7793128.00,8598394.00,10327160.00,468600.00,2065432.00,30100,25.70,13.35,4.60,,,,,,,,,,,,,1.00,0.8,20
P126_01N_B1953,Honingklip Spruit,Bridge,Bridge,2012/01/18,13E,N014,104.69,2022/06/30,2016/04/02,3633911.00,4472574.00,4590551.00,38530.00,918110.00,30100,10.10,15.10,4.50,,,,,,,,,,,,,1.00,0.8,20
P126_01N_B2073,Rietspruit Bridge 1,Bridge,Bridge,2012/01/18,13E,N014,93.95,2022/06/30,2016/04/02,4167173.00,5212116.00,5212116.00,2520.00,1042423.00,30100,11.10,15.60,4.30,,,,,,,,,,,,,1.00,0.8,20
P126_1_B2072,Unknown stream,Bridge,Bridge Cellular,2012/01/18,1,P126,108.15,2022/06/30,2016/05/12,2029886.00,3400907.00,3449895.00,1240.00,1418769.00,24450,,,,,17,8.3,0.00,,,,,,,,,,0.589,47
P28_1_IDC0001z,Rietspruit Tributary,Major Culvert,Culvert Major,2012/01/18,1,P28,84.10,2022/06/30,2016/05/12,531323.00,1026665.00,1026665.00,1260.00,494083.00,24450,,,,,6.48,6.48,1.00,,,,,,,,,,0.519,55
P126_1_IDC0002,Rietspruit Tributary - Tarlton,Major Culvert,Culvert Major,2012/01/18,1,P126,93.10,2022/06/30,2016/05/12,702416.00,1175591.00,1175591.00,0.00,473175.00,29350,,,,,7.23,5.54,4.00,,,,,,,,,,0.598,46
P126_1_C2072,Rietspruit Tributary,Major Culvert,Culvert Major,2012/01/18,1,P126,104.00,2022/06/30,2016/05/12,1171232.00,1359196.00,1419675.00,0.00,248443.00,24450,,,,,7.62,7.62,1.00,,,,,,,,,,0.825,20
P126_1_B2071,Paardekraal Stormwater,Bridge,Bridge Cellular,2012/01/18,1,P126,109.06,2022/06/30,2016/05/12,79792.00,143091.00,145565.50,5910.00,59864.00,24450,,,,,2.44,2.44,2.00,,,,,,,,,,0.589,47
P158_2_B2947A,Crocodile River Bridge A (EB),Bridge,Bridge,2011/11/23,2,P158,2.98,2022/06/30,2016/04/02,18386331.00,30396809.00,33624790.00,443550.00,14794907.00,45140,65.00,11.46,11.60,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3298A,Driefontein Farm Access Underpass (N014EB),Bridge,Bridge,2011/11/23,2,P158,3.89,2022/06/30,2016/04/07,11530983.00,19585793.00,20597110.00,3400.00,9062729.00,45140,33.90,13.46,8.20,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3299A,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) NB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.52,2022/06/30,2016/04/07,47606019.00,79991127.00,85223870.00,119350.00,37498503.00,45140,141.00,13.39,8.30,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3299B,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) SB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.56,2022/06/30,2016/04/07,47702169.00,81422888.00,85223870.00,23200.00,37498503.00,45140,141.00,13.39,8.30,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3300,Elandsdrif Rd Overpass,Bridge,Bridge,2011/11/29,2,P158,7.75,2022/06/30,2016/04/07,19696379.00,33256511.00,35367980.00,109690.00,15561911.00,30100,84.90,13.84,7.50,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3301A,Sunset Drive Underpass (N14EB),Bridge,Bridge,2011/11/29,2,P158,9.15,2022/06/30,2016/04/07,9031550.00,16139018.00,16139020.00,6300.00,7101168.00,30100,33.20,16.15,6.40,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3301B,Sunset Drive Underpass (N14WB),Bridge,Bridge,2011/11/29,2,P158,9.16,2022/06/30,2016/04/07,9022350.00,15670986.00,16139020.00,15500.00,7101168.00,30100,33.20,16.15,6.40,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3302,Jukskei Arch Bridge,Bridge,Bridge,2011/11/29,2,P158,10.70,2022/06/30,2016/04/07,27353269.00,47023915.00,48856020.00,6100.00,21496647.00,45140,13.10,82.62,8.50,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3303A,Nooitgedacht Farm Road Underpass (N14 EB),Bridge,Bridge,2011/11/29,2,P158,12.65,2022/06/30,2016/06/24,12356699.00,21927452.00,22075360.00,5500.00,9713157.00,45140,30.30,16.14,11.00,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3303B,Nooitgedacht Farm Road Underpass (N14 WB),Bridge,Bridge,2011/11/29,2,P158,12.64,2022/06/30,2016/06/24,12356699.00,21976018.00,22075360.00,5500.00,9713157.00,45140,30.30,16.14,11.00,,,,,,,,,,,,,1.00,0.56,44
P158_2_B3304A,Malibongwe Dr (R512) I/C: Malibongwe Dr (R512) Overpass,Bridge,Bridge,2011/11/29,2,P158,13.34,2022/06/30,2016/06/24,49773953.00,95719144.00,95719140.00,0.00,45945191.00,45140,123.50,17.17,8.20,,,,,,,,,,,,,1.00,0.52,48
P158_2_B3305,Road D1027 Overpass,Bridge,Bridge,2011/11/29,2,P158,15.52,2022/06/30,2016/06/27,19146525.00,28324603.00,34362010.00,96200.00,15119283.00,30100,84.50,13.51,6.60,,,,,,,,,,,,,1.00,0.56,44
P66_1_B3346,R55 Ic Ramp Bridge,Bridge,Bridge,2011/11/25,1,P66,34.50,2022/06/30,2016/06/28,26221662.00,45673272.00,49970760.00,262840.00,23486254.00,30100,123.80,13.41,7.20,,,,,,,,,,,,,1.00,0.53,47
P158_2_B3512A,Jukskei River Bridge A (N014EB),Bridge,Bridge,2011/11/29,2,P158,18.42,2022/06/30,2016/06/27,44916875.00,84748816.00,84748820.00,0.00,39831941.00,45140,114.90,16.34,21.30,,,,,,,,,,,,,1.00,0.53,47
P158_2_B3513,Access Road Overpass,Bridge,Bridge,2011/11/24,2,P158,22.17,2022/06/30,2016/06/28,28792565.00,50250351.00,54816570.00,260220.00,25763787.00,45140,109.60,11.08,10.60,,,,,,,,,,,,,1.00,0.53,47
P158_2_B3514,R114 Overpass,Bridge,Bridge,2011/11/24,2,P158,22.60,2022/06/30,2016/06/28,41146469.00,72597988.00,77769670.00,71460.00,36551743.00,45140,99.30,17.35,9.70,,,,,,,,,,,,,1.00,0.53,47
