Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
P156_03N_IDC1669,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,9.40,2022/06/30,2016/05/30,422286.00,803978.00,842302.50,73620.00,346397.00,24450,,,,,6.5,5.3,0.00,,,,,,,,,,0.589,47
P156_03N_IDC1660,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,7.20,2022/06/30,2016/05/30,99511.00,173343.00,189487.50,12050.00,77927.00,24450,,,,,3.1,2.5,0.00,,,,,,,,,,0.589,47
P16_01N_B1424,Steenkoppie Bridge 1424,Bridge,Bridge,2012/10/09,01N,P16,27.80,2022/06/30,2016/04/01,2840488.00,5169650.00,5547430.00,99650.00,2607292.00,30100,19.00,9.70,4.30,,,,,,,,,,,,,1.00,0.53,47
P159_01N_IDC2281,P159 Ramp over tributary to Apies River,Major Culvert,Culvert Major,2012/11/06,01N,P159,3.23,2022/06/30,2016/04/30,79165.00,136832.00,140832.00,3750.00,57917.00,24450,,,,,2.4,2.4,1.50,,,,,,,,,,0.589,47
P156_03N_IDC1656,Drainage,Major Culvert,Culvert Major,2012/10/15,03N,P156,5.30,2022/06/30,2016/05/30,112322.00,202249.00,211248.00,12050.00,86876.00,24450,,,,,3.6,2.4,0.00,,,,,,,,,,0.589,47
P158_01N_B2300A,N14 NBC over Hennops River,Bridge,Bridge,2012/11/08,01N,P158,10.22,2022/06/30,2016/06/28,6953546.00,13822027.00,14502180.00,7500.00,7541134.00,30100,36.50,13.20,5.50,,,,,,,,,,,,,1.00,0.48,55
P158_01N_B2300B,N14 SBC over Hennops River Bridge,Bridge,Bridge,2012/11/08,01N,P158,10.23,2022/06/30,2016/06/28,6917686.00,13530534.00,14502180.00,43360.00,7541134.00,30100,36.50,13.20,6.00,,,,,,,,,,,,,1.00,0.48,55
P158_01N_B2228A,M7 Eeufees Road,Bridge,Bridge,2012/11/07,01N,P158,2.30,2022/06/30,2016/06/29,42804830.00,86589992.00,90001030.00,35660.00,47160542.00,45140,152.20,13.10,15.70,,,,,,,,,,,,,1.00,0.476,56
P156_02N_IDC1347,Drainage,Major Culvert,Culvert Major,2012/10/14,02N,P156,22.85,2022/06/30,2016/06/03,109671.00,189488.00,189487.50,1890.00,77927.00,24450,,,,,3.1,2.5,1.00,,,,,,,,,,0.589,47
P156_02N_B4821,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,2022/06/30,2016/05/11,16900752.00,30808714.00,31975830.00,46440.00,15028640.00,30100,108.40,9.80,6.71,,,,,,,,,,,,,1.00,0.53,47
P156_03N_IDC1683,Drainage,Major Culvert,Culvert Major,2012/10/16,03N,P156,11.95,2022/06/30,2016/05/30,230556.00,553039.00,559416.00,98800.00,230060.00,24450,,,,,5.2,4.4,0.40,,,,,,,,,,0.589,47
P158_01N_B2348,Bridge at Route km 3.7,Bridge,Bridge,2012/11/07,01N,P158,3.70,2022/06/30,2016/06/29,3443664.00,6177096.00,6741347.00,129250.00,3168433.00,30100,55.30,4.05,5.37,,,,,,,,,,,,,1.00,0.53,47
P156_02N_IDC1322,Underpass,Major Culvert,Culvert Major,2012/10/14,02N,P156,2.80,2022/06/30,2016/06/03,1.00,189488.00,189487.50,190000.00,77927.00,24450,,,,,3.1,2.5,0.00,,,,,,,,,,0.589,47
P159_01N_B3792B,3792(B) Bremer Steet North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.54,2022/06/30,2016/03/11,33455436.00,54917302.00,56715170.00,1140820.00,22118916.00,30100,129.50,14.55,6.76,,,,,,,,,,,,,1.00,0.61,39
P156_02N_B3039,Drainage,Bridge,Bridge Cellular,2012/10/14,02N,P156,25.40,2022/06/30,2016/06/03,2344925.00,4034250.00,4034250.00,30240.00,1659085.00,24450,,,,,15,11,0.00,,,,,,,,,,0.589,47
P2_05N_IDC1607,PC6,Major Culvert,Culvert Major,2012/10/25,05N,P2,21.40,2022/06/30,2016/04/03,457285.00,777775.00,777775.00,630.00,319860.00,29350,,,,,5.3,5,4.00,,,,,,,,,,0.589,47
