Struman List Rating Data,,,,,,,,
Structure Type : Bridge,,,,,,,,
,,,,,,,,
Structure Number,Structure Name,Structure Type,Inspection Date,Inspection Item,Position,D,E,R
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,18. Longitudinal Members,S3,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,18. Longitudinal Members,S4,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,18. Longitudinal Members,S5,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,19. Transverse Members,S1,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,19. Transverse Members,S2,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,19. Transverse Members,S3,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,19. Transverse Members,S4,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,19. Transverse Members,S5,X,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,20. Decks and Slabs,S1,2,1,2
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,20. Decks and Slabs,S2,0,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,20. Decks and Slabs,S3,0,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,20. Decks and Slabs,S4,0,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,20. Decks and Slabs,S5,0,,
D1017_01N_B1443,D1017-03,Bridge,10/05/2016,21. Miscellaneous Items,G0,X,,
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,01. Approach Embankment,A1,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,01. Approach Embankment,A2,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,02. Guardrail,G0,4,4,4
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,03. Waterway,G0,3,4,2
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,04. Approach Embankment Protection Works,A1,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,04. Approach Embankment Protection Works,A2,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,05. Abutment Foundations,A1,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,05. Abutment Foundations,A2,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,06. Abutments,A1,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,06. Abutments,A2,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,07. Wing/ Retaining Walls,A1,1,2,1
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,07. Wing/ Retaining Walls,A2,1,2,1
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,08. Surfacing,G0,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,09. Superstructure Drainage,G0,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,10. Kerbs / Sidewalks,G0,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,11. Parapet,G0,3,4,3
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,12. Pier Protection Works,P1,X,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,12. Pier Protection Works,P2,X,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,13. Pier Foundations,P1,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,13. Pier Foundations,P2,0,0,0
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,14. Piers & Columns,P1,2,1,1
D1017_01N_B2413,D1017-02,Bridge,10/10/2012,14. Piers & Columns,P2,2,1,1
